"Module","Test Case ID","Source Tag","Core Area","Core Scenario Covered","Precondition","Key Flow Covered","Validation / Expected Result","Priority","Automation Status","Feature File"
"Audience","TC-AUD-REG-01","REG-AUD-01","Publish / Activation","Publish Audience and verify it appears in the correct tab with Active status","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the customer property option on Criteria -> Click the Condition and select is one of option -> Click the Publish button and Confirm the Publish Static Audience -> Filter the Audience with the saved Audience title","I should see the Create Audience page | Static tab should load successfully | Verify the Audience is displayed in the list","High","Automated","audience.feature"
"Audience","TC-AUD-REG-02","REG-AUD-02","Criteria / Metric","Create Audience with Customer Metric criteria","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Customer Metric option on Criteria -> Click the Condition and select greater than or equal option -> Set the occurrence date range to Today and apply -> Click the Preview button","I should see the Create Audience page | check the Customer count | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-03","REG-AUD-03","Criteria / Engagement","Create Audience with Customer Engagement and Workflow attributes","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Customer Engagement option on Criteria -> Select a  Workflow Name option and apply -> Select a valid Workflow Name from the dependent dropdown -> Click the Preview button","check the Customer count | Check updates records are matching | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-04","REG-AUD-04","Criteria / Existing Audience","Create Audience with Part of Audience criteria","User logged in; Existing audience available","Click the Create new Audience button -> Click the Create from scratch option -> Click the Part of Audience option on Criteria -> Click the Preview button -> Save as draft the Audience and go back to Audience list page","I should see the Audience page | I should see the Create Audience page | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-05","REG-AUD-05","Criteria / Logic","AND condition validation within a single criteria group","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Event performed option on Criteria -> Set the occurrence at least -> Click the AND condition and add Customer Metric criteria in the same group -> Click the Condition and select greater than or equal option","I should see the Create Audience page | check the Customer count | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-06","REG-AUD-06","Criteria / Logic","OR group validation across multiple criteria groups","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Event performed option on Criteria -> Click the Add Group button to add a second criteria group with OR logic -> Click the customer property option on the second group Criteria -> Click the Condition and select is one of option","I should see the Create Audience page | check the Customer count | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-07","REG-AUD-07","Draft / Persistence","Save as Draft and reopen Audience persists criteria data","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the customer property option on Criteria -> Click the Condition and select is one of option -> Click the + Add values enter a valid User Id and apply -> Save as draft the Audience and go back to Audience list page","check the Customer count | Verify the Audience is displayed in the list | Verify the added user Id are still in the Audience","High","Automated","audience.feature"
"Audience","TC-AUD-REG-08","REG-AUD-08","Criteria / Event","Create Audience with Event and Occurrence criteria","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Event performed option on Criteria -> Set the occurrence at least -> Set the occurrence date range to Today and apply -> Click the Preview button","I should see the Audience page | I should see the Create Audience page | Check updates records are matching","High","Automated","audience.feature"
"Audience","TC-AUD-REG-09","REG-AUD-09","Publish / Activation","Edit a Published Audience and verify edit behaviour","User logged in; Published audience exists","Filter the Audience with the saved Audience title -> enter into that Audience -> Modify the criteria by updating the User Id value -> Save the updated Audience","Check the Preview button 2 records is shown | Check updates records are matching | Verify the updated criteria are reflected correctly","High","Automated","audience.feature"
"Audience","TC-AUD-REG-10","REG-AUD-10","Criteria / Existing Audience","Duplicate an existing Audience and verify all fields are copied","User logged in; Existing audience available","Filter the Audience with the existing Audience title -> Click the 3-dot action menu for the Audience -> Click the Duplicate option -> Clear the duplicate title and enter a new unique title -> Click the Duplicate button on the popup -> Click the Publish button and Confirm the Publish Static Audience","Check the Preview button 2 records is shown | Static tab should load successfully | Verify the Audience is displayed in the list","High","Automated","audience.feature"
